Entity,Category,Popularity_Tier,Model,RQ1_Predicted_Type,RQ1_Type_Match,RQ2_Feature_Present,RQ3_Description,RQ3_Propositions,RQ3_Hallucinations_Count,RQ3_Details,RQ3_Ground_Truth_Source
Atomium,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"A large, metallic structure consisting of several interconnected spheres arranged in a geometric pattern, situated in a public plaza with people and trees.","[""The structure is made of reflective metallic material"", ""There are nine spheres in total"", ""The spheres are connected by thick metallic tubes"", ""There are people walking on a paved ground in the foreground"", ""Green trees are visible on the left and right sides"", ""City buildings are visible in the distant background"", ""The sky is clear and light blue"", ""The structure has a vertical central axis""]",0,None,wikipedia
Louvre,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,False,"A large, ornate classical stone building with a central dome, sculptures, and a flag on top.","[""The building is made of light-colored stone"", ""There is a dark dome on the central section"", ""A flag is flying from the top of the dome"", ""There are multiple human-shaped sculptures integrated into the facade"", ""The building has multiple stories with rows of windows"", ""There are arched doorways at the ground level"", ""The building is situated behind a paved open plaza"", ""There are a few small human figures walking in front of the building""]",0,None,wikipedia
Alcatraz,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,A complex of stone buildings and a lighthouse situated on a rocky island surrounded by water.,"[""There is a tall lighthouse tower"", ""There are multiple multi-story stone buildings"", ""The buildings are located on a rocky island"", ""The island is surrounded by blue water"", ""There is a smaller tower to the left of the main lighthouse"", ""There is sparse green vegetation on the island"", ""Mountains are visible in the distant background"", ""The sky is clear and light blue""]",0,None,wikipedia
Monticello,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,False,"A large, white neoclassical building with a prominent portico and an American flag flying on top, set within a landscaped garden.","[""The building is white"", ""There are four large white columns supporting a pediment"", ""An American flag is flying from a pole on the roof"", ""There is a green lawn in the foreground"", ""A stone fountain is centered in the foreground"", ""There are green trees on the left and right sides of the image"", ""The building has multiple rectangular windows"", ""There are white stairs leading up to the main entrance""]",1,"The building is described as white, whereas the expected feature specifies a red brick exterior.",wikipedia
Versailles,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"A large, ornate classical palace with a fountain in the foreground and people walking in a courtyard during sunset.","[""There is a large stone building with multiple arched windows"", ""The building has sculptures along its roofline"", ""A water fountain is active in the foreground"", ""There are multiple people walking in the open courtyard"", ""The sky shows a gradient of orange and purple colors"", ""There are manicured green hedges surrounding the fountain"", ""The building features classical columns""]",0,None,wikipedia
Pantheon,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,False,"A large ancient Roman temple with a massive portico of Corinthian columns and a triangular pediment, situated in a public square with many people.","[""The building has a large triangular pediment"", ""There are eight large columns supporting the front portico"", ""There is Latin text inscribed on the frieze"", ""A crowd of people is gathered in the foreground"", ""The ground is paved with cobblestones"", ""There are multi-story buildings on the left and right sides of the main structure"", ""The sky is clear and blue"", ""A pigeon is visible in the bottom left foreground""]",0,None,wikipedia
Karnak,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"Ancient Egyptian temple ruins featuring massive sandstone columns covered in hieroglyphics, with three people standing among them.","[""There are several large stone columns"", ""The columns are covered in carved hieroglyphics and figures"", ""One column has a flared, bell-shaped capital"", ""Three people are standing near the base of the columns"", ""The structure is made of light brown or tan stone"", ""The ground is paved with stone slabs"", ""The sky is clear and light blue""]",0,None,wikipedia
Potala,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"A large, multi-tiered fortress-like complex with white and red walls situated on a hillside against a backdrop of snow-capped mountains.","[""The main building has white lower walls"", ""The upper section of the main building is red"", ""The building is situated on a hill"", ""There are snow-capped mountains in the background"", ""The complex features golden roofs"", ""There is a road with parked cars at the base of the hill"", ""There are green trees in the foreground and midground"", ""The architecture is multi-storied and sprawling""]",0,None,wikipedia
Ephesus,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"Ancient stone ruins of a classical structure with columns and a central doorway, surrounded by visitors and mountains in the background.","[""There are large stone columns"", ""There is a rectangular doorway in the center of the structure"", ""The structure is made of light-colored stone"", ""Multiple people are walking around the site"", ""There are mountains in the background"", ""The sky is clear and blue"", ""There are stone blocks and ruins in the foreground"", ""The architecture features classical pediments and cornices""]",0,None,wikipedia
Teotihuacan,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,False,"A group of tourists standing in front of a large, ancient stone step pyramid under a clear blue sky.","[""There is a large stone step pyramid"", ""There are multiple people standing in the foreground"", ""The ground is made of light-colored stone pavers"", ""The sky is clear and blue"", ""Some people are wearing hats"", ""Some people are wearing backpacks"", ""There is small amounts of green vegetation growing on the stone structure""]",0,None,wikipedia
Persepolis,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,False,Ancient stone ruins featuring tall fluted columns and lintels under a clear blue sky.,"[""There are several tall, fluted stone columns"", ""The columns have ornate capitals"", ""There are stone lintels resting on top of some columns"", ""The ground is paved with large stone slabs"", ""Several people are walking between the ruins"", ""The sky is clear and blue"", ""Mountains are visible in the far background"", ""The structures are made of light-brown stone""]",0,None,wikipedia
Knossos,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,False,"Ancient stone ruins of a complex with columns, courtyards, and tiered structures under a clear blue sky with green trees in the background.","[""The structure is made of light-colored stone"", ""There are several vertical columns"", ""There is a flat open courtyard area"", ""A person is standing under a covered portico"", ""There are green umbrella-shaped trees on a hill in the background"", ""The sky is clear and blue"", ""The site consists of multiple levels and rooms""]",0,None,wikipedia
Rasputin,Historical Figures,,scads_flux2_dev,Person,True,False,A black and white portrait of a man with a long beard and mustache.,"[""The image is in grayscale"", ""The subject is a man"", ""The man has a long, full beard"", ""The man has a mustache"", ""The man is wearing a dark jacket"", ""The man is looking slightly to the side"", ""The background is a plain, neutral color""]",0,None,wikipedia
Pompeii,Famous Landmarks & Architecture,,scads_flux2_dev,Building,True,True,"Ancient brick ruins of a complex with remaining columns, arches, and low walls, with people walking through the site.","[""The structures are primarily made of red brick"", ""There are several white stone columns"", ""There are arched openings in the walls"", ""Low brick walls form a grid-like pattern in the foreground"", ""People are walking on a paved path"", ""Mountains are visible in the far background"", ""The sky is clear and light blue"", ""There is a stone paved walkway in the lower left""]",0,None,wikipedia
Cleopatra,Historical Figures,,scads_flux2_dev,Person,True,False,"A person wearing ornate ancient Egyptian-style royal attire and headgear, positioned against a background of hieroglyphic walls.","[""The person is wearing a blue and gold striped nemes headcloth"", ""There is a golden uraeus cobra on the forehead of the headcloth"", ""The person is wearing golden rectangular earrings"", ""The person is wearing a wide, colorful beaded collar necklace"", ""The person is wearing a golden chest piece"", ""The person has golden bands on both upper arms"", ""The background consists of stone walls with carved figures and symbols"", ""The person is looking directly at the camera""]",1,The nemes headcloth was traditionally worn by male pharaohs; Cleopatra was a Queen.,wikipedia
Sigiriya,Famous Landmarks & Architecture,,scads_flux2_dev,Landscape,False,True,"A large, monolithic rock formation rising above a forested area with tourists gathered in an ancient brick courtyard in the foreground.","[""There is a massive rock monolith in the background"", ""The rock has steep, vertical cliffs"", ""There are green trees surrounding the base of the rock"", ""A group of people are standing and sitting in a courtyard"", ""The ground in the foreground is reddish-brown earth"", ""There are ruins of brick walls and structures in the foreground"", ""The sky is clear and light blue"", ""Some people are wearing backpacks""]",0,None,wikipedia
Saladin,Historical Figures,,scads_flux2_dev,Person,True,False,A bearded man in ornate armor and a white turban standing before a fortress and an army.,"[""The man is wearing a white turban with a gold ornament"", ""The man has a dark beard"", ""The man is wearing metallic plate armor with gold detailing"", ""The man is wearing a fur-lined red cloak"", ""The man is holding a sword in a scabbard"", ""There is a stone fortress with a round tower in the background"", ""There are soldiers on horseback in the background"", ""The sky is filled with yellowish-brown clouds""]",0,None,wikipedia
Mahatma Gandhi,Historical Figures,,scads_flux2_dev,Person,True,True,"A portrait of an elderly bald man with glasses and a mustache, wearing a white draped garment.","[""The person is bald"", ""The person is wearing round-rimmed glasses"", ""The person has a mustache"", ""The person is wearing a white cloth draped over their shoulders"", ""The background is a solid neutral brown color"", ""The person is smiling slightly""]",0,None,wikipedia
Bismarck,Historical Figures,,scads_flux2_dev,Person,True,False,"A formal portrait of an older man wearing a dark suit, white shirt, and red tie against a neutral brown background.","[""The person is an older male"", ""The person has grey hair"", ""The person is wearing a dark suit jacket"", ""The person is wearing a white collared shirt"", ""The person is wearing a red patterned tie"", ""The background is a solid, muted brown color"", ""The image is a head-and-shoulders portrait""]",0,None,wikipedia
Vercingetorix,Historical Figures,,scads_flux2_dev,Person,True,False,A group of three people in ancient warrior-style attire standing on a rocky outcrop overlooking a mountain valley at sunset.,"[""There is a man wearing a helmet and armor"", ""The man is holding a circular shield"", ""A small child is being held by the man"", ""A woman is crouching on the rocks"", ""The people are positioned on a rocky peak"", ""There are mountains in the background"", ""The sun is low on the horizon"", ""The woman is wearing a brown cloak""]",2,The ground truth describes Vercingetorix as a single chieftain; the presence of a small child and a woman is not supported by the text.,wikipedia
Montezuma,Historical Figures,,scads_flux2_dev,Person,False,True,"A man dressed in ornate, ancient-style royal attire standing in front of stepped pyramids.","[""The person is wearing a gold crown with white feathers"", ""The person has a dark mustache and beard"", ""The person is holding a staff topped with white feathers"", ""The person is wearing gold armguards and a gold belt"", ""The person is wearing a decorative chest piece with beads and gold plates"", ""There are stepped pyramids in the background"", ""There are people on horses in the distant background"", ""The sky is cloudy""]",8,"The ground truth defines Montezuma as an unincorporated community in New Mexico, not a person, emperor, or royal figure; therefore, all propositions describing a person and pyramids are hallucinations.",wikipedia
Ada Lovelace,Historical Figures,,scads_flux2_dev,Person,True,False,"A portrait of a young woman wearing a gold-colored period dress with lace detailing, seated next to a table.","[""The person is a woman"", ""She is wearing a gold-colored dress"", ""The dress has white lace at the collar and cuffs"", ""She is wearing a thin headband or tiara"", ""She has dark curly hair"", ""She is seated in a carved wooden chair with green upholstery"", ""Her right arm is resting on a wooden table"", ""The background is a neutral, dark brown tone""]",0,None,wikipedia
Nelson Mandela,Historical Figures,,scads_flux2_dev,Person,True,False,"A close-up portrait of an elderly man with grey hair, smiling, wearing a dark suit, white shirt, and a patterned tie.","[""The person has short, curly grey hair"", ""The person is smiling, showing teeth"", ""The person is wearing a dark-colored suit jacket"", ""The person is wearing a white collared shirt"", ""The person is wearing a dark red patterned tie"", ""The background is blurred and out of focus""]",0,None,wikipedia
Frida Kahlo,Historical Figures,,scads_flux2_dev,Person,True,True,"A portrait painting of a woman with dark hair and prominent eyebrows, wearing traditional attire and floral accessories.","[""The person has dark, thick eyebrows"", ""The person is wearing a pink flower on her head"", ""The person is wearing dangling earrings"", ""The person is wearing a colorful, patterned shawl"", ""The background consists of muted tones with blurred floral shapes"", ""The image is a painting""]",0,None,wikipedia
Hatshepsut,Historical Figures,,scads_flux2_dev,Object,False,False,A golden statue of a human figure wearing an ancient Egyptian nemes headdress.,"[""The figure is wearing a striped blue and gold headdress"", ""The statue has a golden skin tone"", ""There is a cobra symbol on the forehead of the headdress"", ""The figure is wearing a wide decorative collar"", ""The background consists of stone walls with carved hieroglyphics"", ""The statue is positioned behind a stone block""]",0,None,wikipedia
Boudica,Historical Figures,,scads_flux2_dev,Person,True,False,A woman in ancient Roman-style armor standing at the forefront of an army in a rocky landscape.,"[""A woman is wearing a metal helmet with a plume"", ""The woman is holding a long spear in her right hand"", ""The woman is holding a round shield in her left hand"", ""The woman is wearing a metal breastplate and greaves"", ""The woman is wearing a red cape"", ""There are multiple soldiers in similar armor in the background"", ""There are red flags visible behind the soldiers"", ""The setting is a rocky, mountainous terrain"", ""The sky is overcast with a muted color palette""]",4,"The woman is depicted in Roman-style armor (helmet, breastplate, greaves), which contradicts her role as a leader of an uprising against the Roman Empire.",wikipedia
Tokugawa Ieyasu,Historical Figures,,scads_flux2_dev,Person,True,False,"A portrait of a man with East Asian features, wearing traditional brown robes and his hair tied in a topknot.","[""The person has a thin mustache and a long, pointed goatee"", ""The person's hair is styled in a topknot"", ""The person is wearing a brown, wrap-style garment"", ""There is a white undergarment visible at the collar"", ""The background is a solid, neutral tan color"", ""The person is facing slightly to the left of the frame""]",0,None,wikipedia
Ludwig van Beethoven,Historical Figures,,scads_flux2_dev,Person,True,True,"A portrait of a man with wild grey hair, wearing a dark jacket, a white collared shirt, and a bright red cravat, holding a quill pen over a piece of paper.","[""The person has curly grey hair"", ""The person is wearing a dark blue or black jacket"", ""The person is wearing a red necktie or cravat"", ""The person is holding a white quill pen"", ""There is a piece of paper with writing on it in the foreground"", ""The person has a stern facial expression"", ""The background is a muted, dark brown tone""]",0,None,wikipedia
Che Guevara,Historical Figures,,scads_flux2_dev,Person,True,False,"A monochromatic portrait of a man with a beard and a beret, wearing a collared military-style shirt.","[""The person is wearing a black beret"", ""The person has a full beard and mustache"", ""The person has wavy, shoulder-length hair"", ""The person is wearing a collared shirt with a camouflage-like pattern"", ""The image is in a grayscale or sepia tone"", ""The background is a solid, light neutral color""]",0,None,wikipedia
Sitting Bull,Historical Figures,,scads_flux2_dev,Person,True,False,A black and white portrait of a Native American man wearing traditional attire and holding a rifle.,"[""The person is wearing a feathered headdress"", ""The person has two long braids"", ""The person is wearing a beaded chest piece"", ""The person is wearing a fringed garment"", ""The person is holding a rifle"", ""The image is in grayscale"", ""The person is facing the camera""]",0,None,wikipedia
Salvador Dali,Historical Figures,,scads_flux2_dev,Person,True,True,"A portrait of a man with a distinctive thin, upturned mustache, wearing a tuxedo, holding a red surrealist sculpture.","[""The man has a long, thin, curled mustache"", ""The man is wearing a black tuxedo jacket and a white bow tie"", ""The man is holding a red, organic-shaped sculpture in his hand"", ""The background contains surreal elements including a crescent moon and floating objects"", ""The image is presented within a gold picture frame"", ""The man has wide, staring eyes""]",0,None,wikipedia
Vincent van Gogh,Historical Figures,,scads_flux2_dev,Person,True,False,"A stylized painting of a man with red hair and a beard, wearing a blue jacket, set against a swirling blue and yellow background.","[""The image is a painting"", ""A man is the central subject"", ""The man has red hair"", ""The man has a red beard and mustache"", ""The man is wearing a blue jacket"", ""The background consists of swirling blue and white patterns"", ""The brushstrokes are visible and textured"", ""The man is facing forward""]",0,None,wikipedia
Paganini,Historical Figures,,scads_flux2_dev,Person,True,False,A portrait of a man with curly dark hair holding a violin.,"[""The person has dark, curly hair"", ""The person is holding a violin"", ""The person is wearing a dark jacket"", ""The person is wearing a white cravat"", ""The person is wearing a light-colored waistcoat"", ""The background is a neutral, brownish tone""]",0,None,wikipedia
Dante,Historical Figures,,scads_flux2_dev,Person,True,False,"A portrait of a man blended with a cityscape background, featuring stylized text at the bottom.","[""There is a man's face in the upper half of the image"", ""The man has short brown hair and a light beard"", ""The lower portion of the man's body is transparent, revealing a city skyline"", ""The city skyline consists of numerous buildings and rooftops"", ""The word 'DANTE' is written in large white stylized letters"", ""The text 'APISTIGESTRAINO' appears below the main title"", ""The text 'RECTALINT & ISAH KESMEHTO' appears at the bottom"", ""The overall color palette is composed of brown and gold tones""]",0,None,wikipedia
Edgar Allan Poe,Historical Figures,,scads_flux2_dev,Person,True,False,A black and white portrait of a man with curly hair wearing 19th-century formal attire.,"[""The image is in grayscale"", ""The subject is a man"", ""The man has dark, curly hair"", ""The man is wearing a dark coat"", ""The man is wearing a dark waistcoat"", ""The man is wearing a white cravat or necktie"", ""The man is wearing a white collared shirt"", ""The background is a neutral, textured gradient"", ""A watch chain is visible on the waistcoat""]",0,None,wikipedia
Nikola Tesla,Historical Figures,,scads_flux2_dev,Person,True,False,A black and white portrait of a man with a mustache wearing a formal suit and holding a small device emitting smoke.,"[""The image is in black and white"", ""A man is wearing a dark suit jacket and vest"", ""The man has a mustache"", ""The man is wearing a white collared shirt and a dark tie"", ""The man is holding a small black object in his right hand"", ""There is smoke emanating from the object"", ""A thin wire or rod extends from the object toward the man's face""]",0,None,wikipedia
Galileo Galilei,Historical Figures,,scads_flux2_dev,Person,True,False,"A portrait of an elderly man with a long white beard, wearing dark brown robes, holding a writing implement and paper.","[""The person has a long, white beard"", ""The person has white hair"", ""The person is wearing a dark brown garment"", ""The person is holding a stylus or pen"", ""There is a piece of paper or parchment in the person's hands"", ""The background is a solid, dark neutral tone"", ""The person is facing forward""]",0,None,wikipedia
Nefertiti,Historical Figures,,scads_flux2_dev,Person,True,True,"A woman dressed in ancient Egyptian royal attire, standing in a temple setting with columns.","[""The person is wearing a tall blue and gold crown"", ""The person is wearing a wide, multicolored beaded collar necklace"", ""The person has gold bands on their upper arms"", ""The background contains large stone columns with carvings"", ""There are statues of figures in the background"", ""The person is facing forward toward the viewer""]",0,None,wikipedia
Leo Tolstoy,Historical Figures,,scads_flux2_dev,Person,True,False,A portrait of an older man with a long grey beard and a dark suit.,"[""The person has a long, grey beard and mustache"", ""The person is wearing a dark suit jacket and vest"", ""The person has receding grey hair"", ""The background is a solid, dark brown color"", ""The person is facing forward toward the viewer""]",0,None,wikipedia
Axolotl,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,True,A pale pink aquatic salamander with external feathery gills resting on a sandy bottom.,"[""The animal is pale pink in color"", ""The animal has external feathery gills protruding from the sides of its head"", ""The animal has small dark eyes"", ""The animal is resting on a brown sandy substrate"", ""The animal has four limbs with small digits"", ""The background is dark and out of focus""]",0,None,wikipedia
Okapi,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,True,"A quadruped animal with a brown and black coat, featuring white stripes on its legs and hindquarters, standing in a wooded area.","[""The animal has a brown head and neck"", ""The animal has a black body"", ""There are white horizontal stripes on the legs"", ""There are white horizontal stripes on the rear"", ""The animal has pointed ears"", ""The animal is standing on grass"", ""The background consists of blurred trees and golden light""]",1,The proposition 'The animal has a black body' contradicts the expected dark brown body of an okapi.,wikipedia
Rafflesia,Rare Flora/Fauna,,scads_flux2_dev,Plant,True,True,"A large, reddish-orange flower with a textured, pitted surface and a central cup-like opening, resting on a forest floor.","[""The object is reddish-orange in color"", ""The surface of the petals has a pitted or bumpy texture"", ""There is a central circular opening"", ""The object is situated on a ground covered in brown leaves and soil"", ""The background consists of blurred green foliage""]",0,None,wikipedia
Shoebill,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,True,"A large grey bird with a prominent, thick beak and a crest of feathers on its head.","[""The bird has grey plumage"", ""The bird has a large, thick, orange-tinted beak"", ""There is a crest of thin feathers on top of the bird's head"", ""The bird has a visible eye with a light-colored iris"", ""The background consists of dark green foliage""]",0,None,wikipedia
Pangolin,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,True,A pangolin walking on sandy ground in a savanna-like environment during golden hour.,"[""The animal is covered in overlapping scales"", ""The animal has a long tail"", ""The animal is walking on reddish-brown sand"", ""There is a tree in the blurred background"", ""The lighting suggests a sunrise or sunset"", ""The animal has a pointed snout""]",0,None,wikipedia
Olm,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,False,"A large, amphibious creature resembling a salamander or axolotl in a dark, foggy forest environment.","[""The creature has moist, textured skin"", ""The creature has four limbs with clawed digits"", ""There is moss growing on the creature's back and limbs"", ""The background consists of dark, vertical tree trunks"", ""The atmosphere is foggy and dim"", ""The creature has a wide mouth and small eyes"", ""The ground is dark and earthy""]",3,"The olm is exclusively cave-dwelling, contradicting the 'dark, foggy forest' and 'tree trunks' background; it does not have moss growing on its body.",wikipedia
Quokka,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,False,"A small, brown, furry rodent-like animal sitting on sandy ground with a blurred natural background.","[""The animal has brown fur"", ""The animal has small rounded ears"", ""The animal has dark eyes"", ""The animal is sitting on dirt or sand"", ""There are dried leaves on the ground"", ""The background is out of focus"", ""The animal has whiskers""]",0,None,wikipedia
Narwhal,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,True,"An underwater scene featuring a dolphin-like creature with a long, spiraled horn protruding from its forehead, surrounded by small fish.","[""There is a grey aquatic mammal in the center"", ""The creature has a long, spiraled tusk or horn on its head"", ""The scene is set underwater"", ""There are several small fish swimming in the background"", ""Sunlight is filtering down from the water surface"", ""The creature has flippers and a tail fluke""]",0,None,wikipedia
Platypus,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,False,"A small, brown, semi-aquatic mammal with wet fur standing in shallow water.","[""The animal has brown fur"", ""The fur appears wet"", ""The animal is in shallow water"", ""The animal has a flat, wide snout"", ""A small part of the tongue is visible"", ""The animal has small ears"", ""There are ripples in the water around the animal""]",0,None,wikipedia
Tarsier,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,False,"A small, brown primate with very large eyes perched on a tree branch.","[""The animal has large, round, orange-brown eyes"", ""The animal has brown fur"", ""The animal is gripping a textured tree branch"", ""The animal has small, pointed ears"", ""The background is a blurred green foliage""]",0,None,wikipedia
Saiga,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,False,A light-colored ungulate with horns standing in a grassy field during golden hour.,"[""The animal has two curved horns"", ""The animal has light-colored fur"", ""The animal is standing on four legs"", ""The background consists of a flat, grassy landscape"", ""The lighting suggests sunrise or sunset""]",0,None,wikipedia
Welwitschia,Rare Flora/Fauna,,scads_flux2_dev,Plant,True,False,"A large, spiky succulent plant with blue-green leaves situated in an arid landscape.","[""The plant has sharp, pointed leaves"", ""The leaves are a blue-green color"", ""The plant is growing in rocky, dry soil"", ""There is a landscape of shrubs and hills in the background"", ""The sky is blue with white clouds"", ""There are dried brown leaves at the base of the plant""]",1,"The description of 'spiky succulent' and 'sharp, pointed leaves' contradicts the actual morphology of Welwitschia, which has two long, strap-like leaves.",wikipedia
Coelacanth,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,False,"A large, brownish-grey fish swimming in a blue underwater environment above a coral reef.","[""There is a large fish in the center of the frame"", ""The fish has a mottled brown and grey skin pattern"", ""The fish is swimming in blue water"", ""There is a coral reef on the seabed"", ""The fish has a visible eye and mouth"", ""The fish has visible fins""]",0,None,wikipedia
Aye-aye,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,False,"A small, dark-furred primate with large eyes and pointed ears, positioned amidst green foliage.","[""The animal has black or dark brown fur"", ""The animal has large, round, amber-colored eyes"", ""The animal has pointed ears"", ""The animal has a light-colored snout"", ""The background consists of green leaves and thin branches"", ""The animal is facing forward toward the camera""]",0,None,wikipedia
Kakapo,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,False,A green and yellow parrot perched on a brown wooden branch against a blurred natural background.,"[""The animal is a bird"", ""The bird has green feathers on its wings and back"", ""The bird has yellow feathers on its chest"", ""The bird has a grey beak"", ""The bird is perched on a brown branch"", ""The background is out of focus"", ""The bird has dark claws""]",1,"The bird is described as perched on a branch, which contradicts the ground truth that the kakapo is ground-dwelling (and flightless).",wikipedia
Wombat,Rare Flora/Fauna,,scads_flux2_dev,Animal,True,True,"A small, stout mammal with brown fur and a rounded body standing on dirt ground.","[""The animal has brown fur"", ""The animal has small, rounded ears"", ""The animal has a large, blunt nose"", ""The animal is standing on brown soil"", ""The background is blurred and out of focus"", ""The animal has small claws on its front paws""]",0,None,wikipedia
